Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Arable land (% of land area),AG.LND.ARBL.ZS,Botswana,BWA,0.741093642475253,0.617578035396044,0.457007746193072,0.571700809909481,0.502884971679636,0.488768902299155,0.70403896035149,0.458066462166316,0.458066462166316,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Brazil,BRA,6.0636696681319,6.91259041335752,8.41849980976629,8.64701955219702,8.68698059616135,9.18410076883134,9.69198888747975,9.75252867264726,9.68827992830941,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,British Virgin Islands,VGB,13.3333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Brunei Darussalam,BRN,0.379506641366224,0.379506641366224,0.759013282732448,0.759013282732448,0.759013282732448,0.94876660341556,0.94876660341556,0.94876660341556,0.94876660341556,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bulgaria,BGR,34.8549218114436,31.8720057850493,29.3478260869565,29.9373618275608,30.5545320560059,32.0467943994105,32.1112748710391,32.3295868752015,32.2033898305085,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Burkina Faso,BFA,12.8106725146199,13.5233918128655,21.9298245614035,20.8333333333333,21.9298245614035,22.6608187134503,21.9298245614035,21.9298245614035,21.9298245614035,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Burundi,BDI,36.214953271028,37.3831775700935,36.993769470405,38.9408099688474,42.8348909657321,46.7289719626168,46.7289719626168,46.7289719626168,46.7289719626168,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Cabo Verde,CPV,10.1736972704715,10.9181141439206,12.4069478908189,12.4069478908189,13.6476426799007,13.6476426799007,12.4069478908189,12.4069478908189,12.4069478908189,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Cambodia,KHM,20.9324722411058,20.9607976433265,21.5273056877408,21.5273056877408,21.5273056877408,21.5273056877408,21.5273056877408,21.5273056877408,21.5273056877408,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Cameroon,CMR,12.5658437519832,12.6081529902054,13.1158638488714,13.1158638488714,13.1158638488714,13.1158638488714,13.1158638488714,13.1158638488714,13.1158638488714,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Canada,CAN,5.00400835321015,5.03765872583854,4.77230464364145,4.72512814083891,4.74267929132975,4.76023001225599,4.77778116274684,4.79533188367308,4.81288303416393,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Cayman Islands,CYM,0.833333345750967,0.833333345750967,0.833333345750967,0.833333345750967,0.833333345750967,0.833333345750967,0.833333345750967,0.833333345750967,0.833333345750967,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Central African Republic,CAF,3.08196089762111,3.09801277729622,2.88933834151979,2.88933834151979,2.88933834151979,2.88933834151979,2.88933834151979,2.88933834151979,2.88933834151979,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Chad,TCD,2.59926937738246,2.85895806861499,3.57369758576874,3.89135959339263,3.89135959339263,3.89135959339263,3.89135959339263,3.89135959339263,3.89135959339263,..,..,..
